SKU,Producto,Marca_o_Detalle,Precio_Normal,Precio_Cyber,Descuento,Enlace_Imagen,Estado_WooCommerce
3599717,M. COCINA DESPENSA SIMPLE,56.41,$120.300,$96.240,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/07/11.jpg,Encontrado
3599716,M. COCINA DESPENSA MICROONDAS,55.68,$120.300,$96.240,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2025/07/13.jpg,Encontrado
3599118,MESA CON BANQUETAS,53.3,$119.500,$95.600,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3599118.jpg,Encontrado
3599156,ARMARIO PRACTICO,31.92,$67.900,$54.320,-20%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/3599156.jpg,Encontrado
2902001,FOGÓN UNO 1.08 MTS,660,$950.000,$855.000,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/binelli_fogon_pre.jpg,Encontrado
2902002,FOGÓN DOS 1.26 MTS,880,$1.150.000,$1.035.000,-10%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/binelli_fogon_pre.jpg,Encontrado
2902005,JUEGO PARRILLERO,11.52,$27.900,$23.715,-15%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/Juego-parrillero-soporte-de-acero-e1714057996638.jpg,Encontrado
2902008,JUEGO PARRILLERO,10.91,$26.900,$22.865,-15%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/Juego-parrillero-artesanal-3-piezas-e1714057724191.jpg,Encontrado
2902011,DISCO,49.47,$106.600,$90.610,-15%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/001029_1-792fdbdf7546ae7ca015880008058726-640-0.jpg,Encontrado
2902028,ASADOR MEDIANO,34.01,$87.400,$74.290,-15%,https://tienda.comercialpatagonia.cl/wp-content/uploads/2024/04/006334_1-0a457fdef315987d3c16794921567860-1024-1024-1.webp,Encontrado
